Date	PET_mm	Rainfall_mm
2012-08-21	4.2	0
2012-08-22	3.3	0
2012-08-23	3.8	0
2012-08-24	4.7	0
2012-08-25	3.5	0
2012-08-26	3.1	8.4
2012-08-27	2.1	22.6
2012-08-28	2.7	7.4
2012-08-29	4.2	22.8
2012-08-30	3.2	0
2012-08-31	2.3	2.6
2012-09-01	3.7	0
2012-09-02	3.8	0
2012-09-03	4.8	18.4
2012-09-04	1.2	9
2012-09-05	2.9	0.6
2012-09-06	4	0
2012-09-07	3.9	0
2012-09-08	4.6	0
2012-09-09	5.4	0
2012-09-10	2.9	0
2012-09-11	2.3	10.8
2012-09-12	3.8	2.4
2012-09-13	3.5	2.4
2012-09-14	4.8	0
2012-09-15	5.8	0
2012-09-16	4.2	0
2012-09-17	3.9	0
2012-09-18	2.7	0
2012-09-19	4.1	0
2012-09-20	2.9	0
2012-09-21	3.5	0
2012-09-22	4.1	6.6
2012-09-23	2.7	2.6
2012-09-24	2.7	0
2012-09-25	4	0
2012-09-26	5.1	0
2012-09-27	4.6	0
2012-09-28	4.8	0
2012-09-29	5.6	0
2012-09-30	4.5	5.6
2012-10-01	3.6	4.8
2012-10-02	2.2	29.4
2012-10-03	2.8	17.4
2012-10-04	3.3	21.2
2012-10-05	2.2	0
2012-10-06	3.6	0.2
2012-10-07	2.8	0.5
2012-10-08	3.3	0
2012-10-09	4.4	0
2012-10-10	5.1	0
2012-10-11	4.7	0
2012-10-12	5	0
2012-10-13	4.7	0
2012-10-14	5	0
2012-10-15	5.5	0
2012-10-16	6.5	0
2012-10-17	6.2	0
2012-10-18	6.3	0
2012-10-19	6.5	0
2012-10-20	5.1	0
2012-10-21	1.4	0.3
2012-10-22	3.9	0
2012-10-23	3.9	0
2012-10-24	4.5	0
2012-10-25	2.8	0
2012-10-26	3.7	0
2012-10-27	4.6	0
2012-10-28	4.8	0
2012-10-29	5.9	0
2012-10-30	5.8	0
2012-10-31	3.6	0
2012-11-01	5.9	0.4
2012-11-02	2.4	26.6
2012-11-03	1.1	11
2012-11-04	1	0.2
2012-11-05	3.4	0
2012-11-06	3.6	0
2012-11-07	3.4	0
2012-11-08	3.8	0
2012-11-09	3.5	0
2012-11-10	1.8	0
2012-11-11	4.1	0
2012-11-12	3.8	0
2012-11-13	5	0
2012-11-14	4.6	0
2012-11-15	4.5	0
2012-11-16	4.2	0
2012-11-17	4	0
2012-11-18	3.6	0
2012-11-19	3.3	0
2012-11-20	3.7	0
2012-11-21	3.8	0
2012-11-22	3.2	0
2012-11-23	2.6	0
2012-11-24	3.4	0
2012-11-25	3.4	0
2012-11-26	3.2	0
2012-11-27	3.7	0
2012-11-28	3	0
2012-11-29	3.1	0
2012-11-30	3	0
